Date,DRD,File,Status
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_092_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20081001_161_092_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45643464
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_099_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20081001_161_099_L2_BAND4.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45596154
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_102_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20081001_161_102_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45650244
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_107_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20081001_161_107_L2_BAND4.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45738152
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_107_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20081001_161_107_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45751688
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_129_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20081001_161_129_L2_BAND2.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45124632
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_129_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20081001_161_129_L2_BAND4.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45124632
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_130_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20081001_161_130_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20081001_161_130_L2_BAND1.tif' not recognized as a supported file format.
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_132_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20081001_161_132_L2_BAND3.tif.zip,too small
2008_10,CBERS2B_CCD_20081001.134344,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081001.134344/161_137_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20081001_161_137_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20081001_161_137_L2_BAND1.tif' not recognized as a supported file format.
2008_10,CBERS2B_CCD_20081002.131017,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081002.131017/152_098_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20081002_152_098_L2_BAND2.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45434216
2008_10,CBERS2B_CCD_20081002.131017,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081002.131017/152_099_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20081002_152_099_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20081002_152_099_L2_BAND3.tif' not recognized as a supported file format.
2008_10,CBERS2B_CCD_20081002.131017,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081002.131017/152_100_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20081002_152_100_L2_BAND2.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45447720
2008_10,CBERS2B_CCD_20081002.131017,/Level-2/CBERS2B/2008_10/CBERS2B_CCD_20081002.131017/152_100_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20081002_152_100_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45441026
