Date,DRD,File,Status
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_103_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090701_162_103_L2_BAND5.tif.zip,too small
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_107_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090701_162_107_L2_BAND5.tif.zip,too small
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_113_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090701_162_113_L2_BAND5.tif.zip,`/tmp/CBERS_2B_CCD2PAN_20090701_162_113_L2_BAND5.tif' not recognized as a supported file format.
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_117_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090701_162_117_L2_BAND3.tif.zip,TIFFReadDirectory:Failed to read directory at offset 41372394
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_119_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090701_162_119_L2_BAND4.tif.zip,TIFFReadDirectory:Failed to read directory at offset 41284520
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_119_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090701_162_119_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 41263310
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_132_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090701_162_132_L2_BAND1.tif.zip,TIFFReadDirectory:Failed to read directory at offset 43190558
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_132_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090701_162_132_L2_BAND3.tif.zip,TIFFReadDirectory:Failed to read directory at offset 43190558
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_133_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090701_162_133_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090701_162_133_L2_BAND3.tif' not recognized as a supported file format.
2009_07,CBERS2B_CCD_20090701.134755,/Level-2/CBERS2B/2009_07/CBERS2B_CCD_20090701.134755/162_135_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090701_162_135_L2_BAND4.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090701_162_135_L2_BAND4.tif' not recognized as a supported file format.
