Date,DRD,File,Status
1999_10,LANDSAT7_ETM_19991001.131521,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.131521/223_066_0/2_BC_UTM_WGS84/LANDSAT_7_ETMPAN_19991001_223_066_L2_BAND8.tif.zip,`/tmp/LANDSAT_7_ETMPAN_19991001_223_066_L2_BAND8.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.131521,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.131521/223_073_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_223_073_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_223_073_L2_BAND3.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.131521,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.131521/223_074_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_223_074_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_223_074_L2_BAND3.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.131521,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.131521/223_075_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_223_075_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_223_075_L2_BAND3.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.131521,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.131521/223_076_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_223_076_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_223_076_L2_BAND3.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.131521,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.131521/223_077_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_223_077_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_223_077_L2_BAND3.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.131521,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.131521/223_078_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_223_078_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_223_078_L2_BAND3.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.131521,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.131521/223_084_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_223_084_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_223_084_L2_BAND3.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.145439,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.145439/006_062_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_006_062_L2_BAND2.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_006_062_L2_BAND2.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.145439,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.145439/006_063_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_006_063_L2_BAND1.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_006_063_L2_BAND1.tif' not recognized as a supported file format.
1999_10,LANDSAT7_ETM_19991001.145439,/Level-2/LANDSAT7/1999_10/LANDSAT7_ETM_19991001.145439/006_065_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_19991001_006_065_L2_BAND1.tif.zip,`/tmp/LANDSAT_7_ETMXS_19991001_006_065_L2_BAND1.tif' not recognized as a supported file format.
