Date,DRD,File,Status
2002_11,LANDSAT7_ETM_20021102.122220,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021102.122220/215_064_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021102_215_064_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021102_215_064_L2_BAND4.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021102.122220,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021102.122220/215_065_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021102_215_065_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021102_215_065_L2_BAND4.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021102.122220,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021102.122220/215_073_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021102_215_073_L2_BAND1.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021102_215_073_L2_BAND1.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021115.150950,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021115.150950/009_065_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021115_009_065_L2_BAND3.tif.zip,TIFFReadDirectory:Failed to read directory at offset 55456894
2002_11,LANDSAT7_ETM_20021115.150950,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021115.150950/009_065_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021115_009_065_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 55456894
2002_11,LANDSAT7_ETM_20021115.150950,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021115.150950/009_066_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021115_009_066_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021115_009_066_L2_BAND4.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021117.145516,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021117.145516/007_062_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021117_007_062_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021117_007_062_L2_BAND3.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021119.130443,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021119.130443/222_062_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021119_222_062_L2_BAND5.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021119_222_062_L2_BAND5.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021119.130443,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021119.130443/222_064_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021119_222_064_L2_BAND3.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021119_222_064_L2_BAND3.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021119.130443,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021119.130443/222_070_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021119_222_070_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021119_222_070_L2_BAND4.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021119.130443,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021119.130443/222_072_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021119_222_072_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20021119_222_072_L2_BAND4.tif' not recognized as a supported file format.
2002_11,LANDSAT7_ETM_20021119.130443,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021119.130443/222_073_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021119_222_073_L2_BAND3.tif.zip,TIFFReadDirectory:Failed to read directory at offset 55903670
2002_11,LANDSAT7_ETM_20021119.130443,/Level-2/LANDSAT7/2002_11/LANDSAT7_ETM_20021119.130443/222_073_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20021119_222_073_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 55903670
